OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,PlotIdentity,PlotNum,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord
801,2011,1,betle,1,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,470019.9136,89973.9454
800,2010,1,betle,1,2,19,10,0,0,1,2,10,2,0,0,1,2,2.4,1.2,470016.6738,89976.6398
640,1936,1,betle,1,2,19,10,0,0,5,2,0,0,1,2,0,0,1.2,0.8,470016.8312,89975.5828
631,1928,1,betle,1,2,19,10,10,2,20,2,0,0,0,0,0,0,6,0.8,470021.027,89976.9858
620,1917,1,betle,1,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,470027.9199,89979.0295
617,1914,1,betle,1,2,19,10,20,1,20,1,0,0,0,0,0,0,8,0.4,470022.3733,89976.2002
614,1911,1,betle,1,2,19,10,10,1,0,0,0,0,0,0,0,0,2,0.2,470023.1268,89975.9822
613,1910,1,betle,1,2,19,10,0,0,1,2,0,0,25,1,0,0,5.2,0.6,470023.7208,89980.2077
415,1721,1,betle,1,2,19,10,30,1,40,1,10,1,35,2,0,0,23,1,470025.2238,89980.8526
528,1441,1,betle,1,2,19,10,0,0,1,1,1,2,1,1,0,0,0.6,0.8,470026.5153,89974.8641
478,1412,1,betle,1,2,19,10,0,0,0,0,1,1,0,0,0,0,0.2,0.2,470023.3905,89976.09
710,1340,1,betle,1,2,19,10,90,2,60,1,1,2,30,2,0,0,36.2,1.4,470020.5438,89977.5767
705,1339,1,betle,1,2,19,10,0,0,0,0,1,2,0,0,0,0,0.2,0.4,470027.2429,89980.3998
691,1325,1,betle,1,2,19,10,0,0,1,2,1,1,0,0,0,0,0.4,0.6,470021.7939,89977.5266
688,1322,1,betle,1,2,19,10,0,0,5,1,25,2,0,0,1,1,6.2,0.8,470020.1599,89979.5661
686,1320,1,betle,1,2,19,10,0,0,1,2,20,2,5,1,55,2,16.2,1.4,470024.3374,89976.257
354,1138,1,betle,1,2,19,10,0,0,0,0,30,2,1,2,1,2,6.4,1.2,470023.0591,89974.6004
353,1137,1,betle,1,2,19,10,30,2,0,0,45,2,60,1,0,0,27,1,470021.0233,89973.3279
352,1136,1,betle,1,2,19,10,0,0,1,2,1,2,0,0,0,0,0.4,0.8,470024.928,89974.0327
351,1134,1,betle,1,2,19,10,0,0,30,2,40,2,10,2,0,0,16,1.2,470020.2149,89971.5816
350,1133,1,betle,1,2,19,10,30,0,10,1,25,1,25,1,0,0,18,0.6,470021.6795,89974.0104
347,1130,1,betle,1,2,19,10,5,1,1,2,0,0,0,0,0,0,1.2,0.6,470020.7591,89970.6965
346,1129,1,betle,1,2,19,10,0,0,60,1,5,2,10,2,5,2,16,1.4,470020.52,89972.2983
344,1127,1,betle,1,2,19,10,0,0,0,0,0,0,1,2,0,0,0.2,0.4,470023.0526,89973.4452
149,2911,1,betle,1,2,20,11,0,0,0,0,0,0,0,0,0,0,0,0,470386.7339,90208.3077
148,2910,1,betle,1,2,20,11,0,0,0,0,0,0,0,0,0,0,0,0,470391.1174,90200.8794
594,2820,1,betle,1,2,20,11,0,0,0,0,0,0,0,0,0,0,0,0,470389.3143,90208.1707
727,2415,1,betle,1,2,20,11,0,0,0,0,0,0,0,0,0,0,0,0,470385.3752,90206.8723
